Timestamp,Name,Email,Select your Main Research Area:,Please select the Research Area Clusters,Comments,Proff websites,
4/22/2025 20:12:59,Gourab Ghatak,gghatak@ee.iitd.ac.in,"Intelligent Systems and Robotics, AI/ML and Signal Processing, Communications and Computing","Cyber-Physical Systems, ext Gen Communication Networks (5G, 6G and beyond), AI/ML, Intelligence and Learning in Control",,,
4/22/2025 21:02:40,Tanmoy Chakraborty ,tanchak@ee.iitd.ac.in,"Intelligent Systems and Robotics, AI/ML and Signal Processing","AI/ML, Healthcare",Could you pls add speech and language technology as a research area,,
4/22/2025 21:19:31,Santanu Manna,mannasan@ee.iitd.ac.in,"Semiconductor Optoelectronic Devices, Semiconductor Epitaxy","Quantum Technology, Epitaxial growth of  III-V (As, P) compound semiconductor epilayers,  Group-IV (Si,Ge) heterostructures, III-V Quantum Well and Quantum Dots, Group-IV Quantum Well and Quantum Dots; Single photon emitter and Entangled photon emitter devices",,,
4/22/2025 21:57:57,Sreyam Sinha,sreyamsinha@ee.iitd.ac.in,"e-Mobility and Energy Storage, Renewable Energy Systems, e-Mobility Systems","Energy, E-mobility including high-speed traction and all-electric aircrafts, Power Electronics, Power conversion systems for grid integration of renewable energy, Charging infrastructure design and development, Wireless power transfer based contactless charging, High power density onboard converter with WBG devices",,,
4/22/2025 23:06:12,Seshan Srirangarajan,seshan@ee.iitd.ac.in,"AI/ML and Signal Processing, Communications and Computing","ext Gen Communication Networks (5G, 6G and beyond), AI/ML, Multimedia – Signal and Image Processing",,,
4/22/2025 23:20:40,Krishan Kant,kkbhalla@iitd.ac.in,"e-Mobility and Energy Storage, Precision Mechatronics","Energy, Power Electronics, Inverter based resources, Power conversion systems for grid integration of renewable energy, Machine design and control for energy generation, Electromechanical Design, Mechatronics",,,
4/23/2025 7:17:34,Subashish Datta,subashish@ee.iitd.ac.in,Intelligent Systems and Robotics,"Robotics – Robotic Vehicles, Intelligence and Learning in Control, Robustness, Reliability and Optimality, Mathematical Control, Smart AC/DC grid, Microgrids, Distributed energy resources (DER) planning",,,  
4/23/2025 9:46:42,Abhijit Abhyankar,abhyankar@ee.iitd.ac.in,"Smart and Sustainable Power Systems, Renewable Energy Systems, Intelligent and Resilient Power Grid","Energy, E-mobility including high-speed traction and all-electric aircrafts, Power Systems, Grid stability enhancement, Energy market and policy regulations, Smart AC/DC grid, Microgrids, Distributed energy resources (DER) planning, Charging infrastructure design and development, Distribution Systems Optimization",,,
4/23/2025 12:12:17,Ankit Singhal,sankit@iitd.ac.in,"Smart and Sustainable Power Systems, Renewable Energy Systems, Intelligent and Resilient Power Grid, e-Mobility Systems","Energy, Power Systems, Grid stability enhancement, Energy market and policy regulations, Microgrids, Distributed energy resources (DER) planning, Inverter based resources",,,
4/23/2025 12:27:37,Vivek Venkataraman,vivekv@iitd.ac.in,Communications and Computing,"Quantum Technology, Fiber-optics & integrated photonics",,,
4/23/2025 13:26:29,Shubhendu Bhasin,sbhasin@ee.iitd.ac.in,Intelligent Systems and Robotics,"Cyber-Physical Systems, Robotics – Robotic Vehicles, Intelligence and Learning in Control, Mathematical Control",,,
4/23/2025 15:13:49,Lalan Kumar,lkumar@ee.iitd.ac.in,AI/ML and Signal Processing,"Multimedia – Signal and Image Processing, Neuro-AI,  Neural signal processing",Neuro-AI can be better framed as Neural/EEG signal processing,,
4/26/2025 8:22:42,Anandarup Das,anandarup@ee.iitd.ac.in,"e-Mobility and Energy Storage, Smart and Sustainable Power Systems, Renewable Energy Systems, Intelligent and Resilient Power Grid, e-Mobility Systems","Energy, E-mobility including high-speed traction and all-electric aircrafts, Power Electronics, Grid stability enhancement, Smart AC/DC grid, Inverter based resources, Power quality improvement, Solar photovoltaic farm / wind farm planning, Power conversion systems for grid integration of renewable energy, Battery energy storage systems, HVDC transmission, Charging infrastructure design and development, Wireless power transfer based contactless charging, High power density onboard converter with WBG devices",,,
5/6/2025 11:35:48,Swades De,swadesd@ee.iitd.ac.in,Communications and Computing,"Energy, Cyber-Physical Systems, ext Gen Communication Networks (5G, 6G and beyond), AI/ML, Wireless power transfer based contactless charging",,,
5/6/2025 11:40:46,Amol Choudhary,achoudhary@ee.iitd.ac.in,Communications and Computing,"ext Gen Communication Networks (5G, 6G and beyond)",More information is here: https://sites.google.com/view/ufochip/home,,
5/6/2025 11:50:47,Shaunak Sen,shaunak.sen@ee.iitd.ac.in,Intelligent Systems and Robotics,"Cyber-Physical Systems, Intelligence and Learning in Control, Robustness, Reliability and Optimality, Mathematical Control, Biology as Circuits & Systems",,,
5/6/2025 12:04:11,Sumit Pramanick,spramanick@ee.iitd.ac.in,"e-Mobility and Energy Storage, Renewable Energy Systems, e-Mobility Systems","E-mobility including high-speed traction and all-electric aircrafts, Power Electronics, Power conversion systems for grid integration of renewable energy, Battery energy storage systems, Charging infrastructure design and development, Drivetrain performance enhancement, Wireless power transfer based contactless charging, High power density onboard converter with WBG devices, WBG module packaging for compact converters",,,
5/6/2025 12:09:24,Arpan Chattopadhyay,arpanc@ee.iitd.ac.in,"Intelligent Systems and Robotics, AI/ML and Signal Processing, Communications and Computing","Quantum Technology, Cyber-Physical Systems, ext Gen Communication Networks (5G, 6G and beyond), Multi-sensory Media & Spatial Computing, AI/ML, Intelligence and Learning in Control, Online learning, radar signal processing, target tracking","Please add online learning, radar signal processing, target tracking",,
5/6/2025 12:15:55,Priyank Srivastava,psrivast@iitd.ac.in,"Intelligent Systems and Robotics, Intelligent and Resilient Power Grid","Cyber-Physical Systems, Power Systems, Intelligence and Learning in Control, Mathematical Control",,,
5/6/2025 13:56:08,Janardhanan,janas@ee.iitd.ac.in,"Intelligent Systems and Robotics, Mathematical Control","Cyber-Physical Systems, Robotics – Robotic Vehicles, Intelligence and Learning in Control, Robustness, Reliability and Optimality, Mathematical Control",,,
5/6/2025 14:56:24,Amartansh Dubey,amardubey@iitd.ac.in,"AI/ML and Signal Processing, Communications and Computing, RF and Microwave Imaging; Inverse Scattering","ext Gen Communication Networks (5G, 6G and beyond), AI/ML",,,
5/6/2025 17:04:18,shankar prakriya,shankar@ee.iitd.ac.in,Communications and Computing,"Cyber-Physical Systems, ext Gen Communication Networks (5G, 6G and beyond)",,,
5/6/2025 17:32:23,Nilanjan Senroy,nsenroy@ee.iitd.ac.in,"Smart and Sustainable Power Systems, Renewable Energy Systems, Intelligent and Resilient Power Grid","Energy, Power Systems, Grid stability enhancement, Grid protection planning, Smart AC/DC grid, Microgrids, Distributed energy resources (DER) planning, Inverter based resources, Solar photovoltaic farm / wind farm planning, Power conversion systems for grid integration of renewable energy",,,
5/7/2025 18:16:28,Mustafijur Rahman,mustafijur@ee.iitd.ac.in,Microelectronics and VLSI,"CMOS analog/RF/mm-wave integrated circuits & systems, CMOS cryogenic integrated circuits & systems for quantum computers",,,
5/8/2025 3:53:06,Anuj Dhawan,adhawan@ee.iitd.ac.in,Microelectronics and VLSI,"MEMS, Sensors, Actuators, Flexible and Printed Electronics, Photonic Devices and Integrated Systems, Plasmonics",Photonic Sensors and Devices,,
6/26/2025 17:22:10,Dhiman Mallick,dhiman@ee.iitd.ac.in,Microelectronics and VLSI,"MEMS, Sensors, Actuators, Flexible and Printed Electronics, Energy Harvesting, Healthcare",,,
,S. D. Joshi,sdjoshi@ee.iitd.ac.in,AI/ML and Signal Processing,"AI/ML, Multimedia – Signal and Image Processing, Healthcare, Neuro-AI,Biology as Circuits & Systems, Mathematical Control",,,
,Santanu Chaudhury,santanuc@ee.iitd.ac.in,"AI/ML and Signal Processing, Intelligent Systems and Robotics","AI/ML, Multimedia – Signal and Image Processing, Cyber-Physical Systems, Healthcare, Neuro-AI, Intelligence and Learning in Control",,,
,Subrat Kar,subrat@ee.iitd.ac.in,Communications and Computing,"Next Gen Communication Networks (5G/6G), Cyber-Physical Systems, Multimedia – Signal and Image Processing, Robustness, Reliability and Optimality, Sensors",,,
,M. Veerachary,mvchary@ee.iitd.ac.in,"e-Mobility and Energy Storage, Smart and Sustainable Power Systems, Renewable Energy Systems","Power Electronics, Power Systems, Battery energy storage systems, Charging infrastructure design and development, Intelligence and Learning in Control, Smart AC/DC grid, Microgrids",,,
,Shouri Chatterjee,shouri@ee.iitd.ac.in,Microelectronics and VLSI,"Analog and RF CMOS IC, VLSI Systems Design, Cyber-Physical Systems ",,,
,Saif Khan Mohammed,saifkm@ee.iitd.ac.in,Communications and Computing,"Next Gen Communication Networks (5G, 6G and beyond), Multimedia – Signal  Processing",,,
,Tapan K. Gandhi,tgandhi@ee.iitd.ac.in,AI/ML and Signal Processing,"AI/ML, Multimedia – Signal and Image Processing, Healthcare, Neuro-AI, Cyber-Physical Systems, Biology as Circuits & Systems, ",,,
